,선명,역명,주소,위도,경도
34,2호선,신답,서울특별시 성동구 천호대로 232(용답동),37.5706952,127.0454382
35,2호선,신당,서울특별시 중구 퇴계로 지하431-1(신당동),37.5654292,127.0134917
36,2호선,신대방,서울특별시 동작구 대림로 2(신대방동),37.487549,126.9129603
37,2호선,신도림,서울특별시 구로구 새말로 지하 117-21(신도림동),37.5088099,126.8912061
38,2호선,신림,서울특별시 관악구 남부순환로 지하1614(신림동),37.4867897,126.9276112
39,2호선,신설동,서울특별시 동대문구 왕산로 지하 1(신설동),37.578486,127.0270996
40,2호선,신정네거리,서울특별시 양천구 중앙로 지하261(신정동),37.5195255,126.8528661
41,2호선,신촌,서울특별시 마포구 신촌로 지하90(노고산동),37.5543865,126.9377806
42,2호선,아현,서울특별시 마포구 신촌로 지하270(아현동),37.5543934,126.9568563
43,2호선,양천구청,서울특별시 양천구 목동로3길 지하33(신정동),37.5113363,126.8630691
44,2호선,역삼,서울특별시 강남구 테헤란로 지하156(역삼동),37.500326,127.036087
45,2호선,영등포구청,서울특별시 영등포구 당산로 지하121(당산동3가),37.5265942,126.8984636
46,2호선,왕십리,서울특별시 성동구 왕십리로 지하300(행당동),37.5596331,127.0303221
47,2호선,용답,서울특별시 성동구 용답길 86(용답동),37.5669045,127.0496653
48,2호선,용두(동대문구청),서울특별시 동대문구 천호대로 지하129(용두동),37.5723955,127.0340943
49,2호선,을지로3가,서울특별시 중구 을지로 지하106(을지로3가),37.5662094,126.9902284
50,2호선,을지로4가,서울특별시 중구 을지로 지하178(을지로4가),37.5665899,126.9982939
51,2호선,을지로입구,서울특별시 중구 을지로 지하42(을지로1가),37.5666911,126.9802528
52,2호선,이대,서울특별시 마포구 신촌로 지하180(염리동),37.5469511,126.9438905
53,2호선,잠실(송파구청),서울특별시 송파구 올림픽로 지하265(신천동),37.52099219999999,127.0991094
54,2호선,잠실나루,서울특별시 송파구 오금로 20(신천동),37.5189313,127.104757
55,2호선,잠실새내,서울특별시 송파구 올림픽로 지하140(잠실동),37.5045774,127.0727245
56,2호선,종합운동장,서울특별시 송파구 올림픽로 지하23(잠실동),37.5166152,127.0877398
57,2호선,충정로(경기대입구),서울특별시 서대문구 서소문로 지하17(충정로3가),37.5634497,126.9611328
58,2호선,한양대,서울특별시 성동구 왕십리로 206(행당동),37.5608641,127.0367939
59,2호선,합정,서울특별시 마포구 양화로 지하55(서교동),37.554252,126.920258
60,2호선,홍대입구,서울특별시 마포구 양화로 지하160(동교동),37.5563194,126.9224078
61,3호선,가락시장,서울특별시 송파구 송파대로 지하257(가락동),37.4956865,127.1184047
62,3호선,경복궁(정부서울청사),서울특별시 종로구 사직로 지하130(적선동),37.574115,126.9743671
63,3호선,경찰병원,서울특별시 송파구 중대로 지하149(가락동),37.4919273,127.1159269
64,3호선,고속터미널,서울특별시 서초구 신반포로 지하188(반포동),37.5054982,127.0011512
65,3호선,교대(법원·검찰청),서울특별시 서초구 서초대로 지하294(서초동),37.4910405,127.004581
66,3호선,구파발,서울특별시 은평구 진관2로 지하15-25 (진관동),37.6358242,126.9241625
67,3호선,금호,서울특별시 성동구 동호로 지하104(금호동4가),37.5474644,127.0256553
