,역명,주소,위도,경도
145,회현,서울특별시 중구 퇴계로 지하54(남창동),37.5580788,126.9776197
146,강동,서울특별시 강동구 천호대로 지하1097(천호동),37.5443765,127.1276202
147,강일,서울특별시 강동구 고덕로 지하456(강일동),37.5570545,127.169184
148,개롱,서울특별시 송파구 오금로 지하402(가락동),37.4956865,127.1184047
149,개화산,서울특별시 강서구 양천로 22(방화동),37.564519,126.8110207
150,거여,서울특별시 송파구 오금로 지하499(거여동),37.4897279,127.1449912
151,고덕,서울특별시 강동구 고덕로 지하253(고덕동),37.555406,127.155926
153,광나루,서울특별시 광진구 아차산로 지하571(광장동),37.5408623,127.09657
154,광화문,서울특별시 종로구 세종대로 지하172(세종로),37.5722099,126.9768146
156,굽은다리,서울특별시 강동구 양재대로 지하1572(명일동),37.5490445,127.1508229
157,길동,서울특별시 강동구 양재대로 지하1480(길동),37.5396157,127.1459293
160,답십리,서울특별시 성동구 천호대로 지하300(용답동),37.5645064,127.0575456
162,둔촌동,서울특별시 강동구 양재대로 지하1369(둔촌동),37.527657,127.136231
163,마곡,서울특별시 강서구 공항대로 지하163(마곡동),37.5745847,126.8278331
164,마장,서울특별시 성동구 마장로 지하296(마장동),37.567372,127.0349439
165,마천,서울특별시 송파구 마천로57길 지하7(마천동),37.4952383,127.1532327
166,마포,서울특별시 마포구 마포대로 지하33(도화동),37.5389594,126.9491776
167,명일,서울특별시 강동구 양재대로 지하1632(명일동),37.5490445,127.1508229
168,목동,서울특별시 양천구 오목로 지하245(목동),37.526072,126.864301
169,발산,서울특별시 강서구 공항대로 지하267(마곡동),37.5706297,126.8298909
170,방이,서울특별시 송파구 양재대로 지하1127(방이동),37.511246,127.1293615
171,방화,서울특별시 강서구 금낭화로 지하132(방화동),37.5782048,126.8181658
172,상일동,서울특별시 강동구 고덕로 지하359(상일동),37.5570545,127.169184
173,서대문,서울특별시 종로구 통일로 지하126(평동),37.5680974,126.9687373
174,송정,서울특별시 강서구 공항대로 지하33(공항동),37.5610725,126.8117129
175,신금호,서울특별시 성동구 금호로 지하154(금호동2가),37.5530275,127.020416
177,신정,서울특별시 양천구 오목로 지하179(신정동),37.5238539,126.8584224
178,아차산,서울특별시 광진구 천호대로 지하657(능동),37.5505785,127.0817378
179,애오개,서울특별시 마포구 마포대로 지하210(아현동),37.5544849,126.9562273
180,양평,서울특별시 영등포구 양산로 지하21(양평동2가),37.5229518,126.8835309
181,여의나루,서울특별시 영등포구 여의동로 지하343(여의도동),37.5234916,126.930651
184,영등포시장,서울특별시 영등포구 양산로 지하200(영등포동5가),37.5210747,126.9066805
186,오목교,서울특별시 양천구 오목로 지하342(목동),37.526072,126.864301
189,우장산,서울특별시 강서구 강서로 지하262(화곡동),37.5512896,126.8417531
191,장한평,서울특별시 동대문구 천호대로 지하405(장안동),37.564181,127.0633192
196,행당,서울특별시 성동구 행당로 지하89(행당동),37.5567086,127.0272721
197,화곡,서울특별시 강서구 화곡로 지하168(화곡동),37.5487046,126.8450968
198,고려대,서울특별시 성북구 종암로 지하1(종암동),37.5981288,127.0404024
