,이름,별점,주소
110,종로3가역 개방화장실,3.5,서울 종로구                돈화문로11길 26                 (우)03133
111,맥도날드 종로3가 개방화장실,,서울 종로구                종로 115                 (우)03139
112,종로1.2.3.4가동 주민센터 2층 개방화장실,,서울 종로구                종로17길 8                 (우)03140
113,종로3가역 개방화장실,,서울 종로구                종로 지하 129                 (우)03139
114,서울종로2가우체국 1층 개방화장실,,서울 종로구                종로17길 8                 (우)03140
115,종로3가무인자동 개방화장실,,서울 종로구                종로 126                 (우)03192
116,종로2가지구대 개방화장실,,서울 종로구                종로17길 4                 (우)03140
117,종로3역 개방화장실,,서울 종로구                돈화문로 38-1                 (우)03138
118,종묘광장 1층 개방화장실,,서울 종로구                종로 157                 (우)03135
119,종로119안전센터 1층 개방화장실,,서울 종로구                돈화문로 30                 (우)03138
120,동대문신발상사 A동 357호 개방화장실,,서울 종로구                청계천로 295                 (우)03119
121,동부여성문화센터 개방화장실,,서울 종로구                창신길 12                 (우)03106
122,동대문역 개방화장실,5.0,서울 종로구                율곡로 지하 308                 (우)03198
123,동대문역 1호선 개방화장실,,서울 종로구                종로 지하 302                 (우)03119
124,남평화상가 개방화장실,,서울 중구                장충단로 282-10                 (우)04567
125,신길역 개방화장실,,서울 영등포구 영등포동1가                35                
126,신길역 1호선 개방화장실,,서울 영등포구 신길동                42-7                
127,SK에너지 신길동주유소 개방화장실,,서울 영등포구                영등포로 348                 (우)07309
128,신길환승 5호선 공영 개방화장실,,서울 영등포구                경인로114가길 지하 9                 (우)07308
129,석계역 1호선 개방화장실,,서울 노원구                화랑로 341                 (우)01895
130,미리내도서관 개방화장실,,서울 성북구                한천로66길 203                 (우)02781
131,석계역6호선 개방화장실,,서울 노원구                화랑로 지하 347-1                 (우)01914
132,시몬주유소 개방화장실,,서울 구로구 온수동                9-12                
133,온수역 7호선 개방화장실,2.0,서울 구로구 온수동                53-16                
134,온수역 1호선 개방화장실,,서울 구로구                부일로 872                 (우)08264
135,한주실업빌딩 이그잼 개방화장실,,서울 동작구                노량진로 162                 (우)06922
136,노량진1동주민센터 개방화장실,,서울 동작구                장승배기로28길 30                 (우)06924
137,노량진역 1호선 개방화장실,,서울 동작구                노량진로 151                 (우)06902
138,9호선노량진역 B1 좌 개방화장실,,서울 동작구                노량진로 지하 130                 (우)06922
139,방배역 개방화장실,,서울 서초구                방배로 지하 80                 (우)06665
140,머리재빌딩 개방화장실,,서울 서초구                방배로 76                 (우)06704
141,방배쉼터 개방화장실,,서울 서초구                남부순환로 2103                 (우)06693
142,사당주차장 개방화장실,,서울 서초구                과천대로 950-18                 (우)06760
143,사당노인종합복지관 개방화장실,,서울 동작구                남부순환로 2081                 (우)07025
144,한국전력 남부지점 개방화장실,,서울 동작구                동작대로 19                 (우)07025
145,사당역 개방화장실,,서울 관악구 남현동                1130-1                
146,사당역 개방화장실,,서울 동작구                동작대로 지하 3                 (우)07025
147,락성주유소 개방화장실,,서울 관악구                남부순환로 1920                 (우)08793
148,낙성대역 개방화장실,,서울 관악구                남부순환로 지하 1928                 (우)08793
149,청동빌딩 개방화장실,,서울 관악구                남부순환로 1922                 (우)08793
150,인헌동주민센터 개방화장실,,서울 관악구                남부순환로246가길 20                 (우)08793
151,남경도빌딩 개방화장실,,서울 관악구                남부순환로 1836                 (우)08788
152,관악구보건소 개방화장실,,서울 관악구                관악로 145                 (우)08832
153,백광빌딩 개방화장실,2.0,서울 관악구                남부순환로 1793                 (우)08758
154,서울대입구역 개방화장실,,서울 관악구                남부순환로 지하 1822                 (우)08787
155,신림역 개방화장실,,서울 관악구                남부순환로 지하 1614                 (우)08777
156,봉림 개방화장실,,서울 관악구 신림동                1433-157                
157,도림천 개방화장실,5.0,서울 동작구 신대방동                702-8                
158,신대방역 개방화장실,,서울 관악구 신림동                516                
159,구로디지털단지역 개방화장실,5.0,서울 구로구                도림천로 477                 (우)08391
160,문래공원 개방화장실,,서울 영등포구 문래동3가                61                
161,문래역 개방화장실,,서울 영등포구                당산로 지하 28                 (우)07298
162,남부교육지원청 개방화장실,,서울 영등포구                문래로 121                 (우)07293
163,대성산업 동마장주유소 개방화장실,1.0,서울 동대문구                고산자로 405                 (우)02566
164,4호 개방화장실,3.0,서울 성동구 마장동                525                
165,용두역 개방화장실,,서울 동대문구 용두동                47-1                
166,용두근린공원 개방화장실,,서울 동대문구 용두동                47-4                
167,정릉천제방 개방화장실,,서울 동대문구                정릉천동로 36                 (우)02567
168,동대문구청 개방화장실,,서울 동대문구                천호대로 145                 (우)02565
169,홈플러스동대문점 개방화장실,,서울 동대문구                천호대로 133                 (우)02565
170,마젤란21오피스텔 개방화장실,5.0,서울 마포구                양화로 175                 (우)03994
171,오렌즈 비젼센터 B1 개방화장실,1.0,서울 마포구                양화로18길 15                 (우)04051
172,미래프라자 개방화장실,2.3,서울 마포구                양화로 166                 (우)04050
173,홍대입구역 개방화장실,4.0,서울 마포구                양화로 지하 160                 (우)04050
174,홍대입구역 경의선 개방화장실,,서울 마포구                양화로 188                 (우)04051
175,효성홍익인간오피스텔 개방화장실,,서울 마포구                양화로 183                 (우)03994
176,현대백화점 개방화장실,,서울 서대문구                신촌로 83                 (우)03789
177,신촌역 개방화장실,,서울 서대문구                신촌로 지하 90                 (우)04058
178,창천문화공원 화장실,,서울 서대문구                연세로5나길 19                 (우)03789
179,대흥동 주민센터 개방화장실,,서울 마포구                신촌로 162                 (우)04104
180,서부교육지원청 개방화장실,,서울 서대문구                이화여대2길 15                 (우)03767
181,아현꽃길 개방화장실,1.0,서울 마포구 아현동                267-7                
182,아현시장 고객지원센터 개방화장실,,서울 마포구                굴레방로 27-17                 (우)04116
183,북아현동주민센터 개방화장실,,서울 서대문구                북아현로 24                 (우)03756
184,용답휴식공원 개방화장실,,서울 성동구 용답동                128-3                
185,청계천 1호 개방화장실,,서울 성동구 마장동                803                
186,도림천역 개방화장실,,서울 구로구                경인로67길 160                 (우)08200
187,c구장 축구장 제방위 개방화장실,,서울 구로구 신도림동                271-86                
188,양천구청역 개방화장실,,서울 양천구                목동로3길 지하 33                 (우)08100
189,시설녹지 신정3호 개방화장실,4.5,서울 양천구                중앙로 248                 (우)08082
190,신정네거리역 개방화장실,,서울 양천구 신정동                1231                
191,나눔누리센터 개방화장실,,서울 양천구                중앙로 250                 (우)08082
192,대법원 개방화장실,,서울 서초구                서초대로 219                 (우)06590
193,대신석유 서원주유소 개방화장실,,서울 서초구                반포대로 142                 (우)06595
194,서초역 개방화장실,,서울 서초구                서초대로 지하 233                 (우)06590
195,9호선당산역 B1층 개방화장실,,서울 영등포구                양평로 지하 40                 (우)07214
196,한강공원양화1 개방화장실,,서울 영등포구 당산동                95-1                
197,길도빌딩 개방화장실,,서울 서초구                법원로2길 15                 (우)06596
198,대성빌딩 개방화장실,,서울 서초구                서초대로52길 28                 (우)06634
199,교대역 2호선 개방화장실,,서울 서초구                서초대로 지하 294                 (우)06634
200,고미술상가 2동 개방화장실,,서울 동대문구                고미술로 21                 (우)02603
201,동부시장 개방화장실,,서울 동대문구                천호대로 281                 (우)02604
202,청계푸르지오 시티 개방화장실,,서울 동대문구                천호대로 257                 (우)02603
203,부룡빌딩 개방화장실,,서울 동대문구                천호대로 263                 (우)02603
204,성동구립 용답도서관 개방화장실,,서울 성동구                용답중앙3길 10                 (우)04804
205,자전거체험학습장 개방화장실,,서울 성동구 마장동                811                
206,캐피탈타워 개방화장실,3.0,서울 강남구                테헤란로 142                 (우)06236
207,성지하이츠 3차오피스텔 개방화장실,,서울 강남구                논현로 507                 (우)06132
208,LG에클라트오피스텔 개방화장실,,서울 강남구                테헤란로20길 19                 (우)06236
209,성지하이츠2차오피스텔 개방화장실,,서울 강남구                테헤란로 147                 (우)06132
210,역삼역 개방화장실,,서울 강남구                테헤란로 지하 156                 (우)06236
211,GS칼텍스 GS타워주유소 개방화장실,,서울 강남구                논현로 516                 (우)06140
212,성동경찰서 개방화장실,5.0,서울 성동구                왕십리광장로 9                 (우)04750
213,왕십리문화공원 개방화장실,,서울 성동구 도선동                35-2                
214,행당119안전센터 개방화장실,,서울 성동구                고산자로 249                 (우)04709
215,성동구립도서관 개방화장실,,서울 성동구                고산자로10길 9                 (우)04744
216,소월문화광장 개방화장실,,서울 성동구 행당동                143-7                
