호선명,역명,사용월,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총 승차인원,지하철역,주소
3호선,녹번,2629183,824,137003,380284,1014401,1210846,723259,490317,436356,465162,447902,436895,477671,581635,705480,1050760,788893,491390,433796,380334,216639,42904,111,33,0,10912895,녹번,서울특별시
3호선,대청,2629183,898,62069,225829,574378,795857,418837,315160,288081,307435,327441,321758,385302,476465,566719,698807,446075,303081,269025,262539,129561,28557,130,18,11,7204033,대청,서울특별시
3호선,대치,2629183,206,45550,263130,558516,709877,467006,365676,352796,422779,479446,438983,489662,598924,784588,756629,528433,338656,378762,552142,127990,24743,108,14,11,8684627,대치,서울특별시
3호선,도곡,2629183,483,15388,105066,284058,394624,292622,177015,176599,173921,183632,183243,210224,255720,331464,355235,219342,145322,127393,112661,48482,24703,2605,12,15,3819829,도곡,서울특별시
3호선,독립문,2629183,2033,73699,142833,377187,495910,408234,371611,324516,337171,340789,334306,357797,387163,399476,426030,273546,187277,161800,138234,74862,35153,6469,22,48,5656166,독립문,서울특별시
3호선,동대입구,2629183,259,36671,155538,279951,789710,564586,445355,424337,383477,431514,446016,426634,506976,653978,854071,388845,305590,333116,251547,92423,14894,715,16,9,7786228,동대입구,서울특별시
3호선,매봉,2629183,107,29024,204798,513098,1212659,634579,364854,344301,334735,349739,366762,406191,461504,744358,1122124,480432,324582,324179,243239,102174,20263,589,19,2,8584312,매봉,서울특별시
3호선,무악재,2629183,305,26302,100487,234811,307953,193474,150860,135612,138112,138802,137088,149418,179999,216646,290925,204927,134101,122019,103410,65265,12796,61,17,0,3043390,무악재,서울특별시
3호선,불광,2629183,409,136611,321368,802758,1191341,842631,654494,621216,667573,706196,695355,747663,819273,904900,1159643,827519,535571,467160,385700,216374,47758,167,60,0,12751740,불광,서울특별시
3호선,수서,2629183,2736,93476,381489,899724,1282945,836173,712279,585327,730685,676050,601397,803745,912607,1080689,1329599,797816,644296,504017,489600,196218,42079,2661,24,33,13605665,수서,서울특별시
3호선,신사,2629183,989,75404,316214,708778,1528994,1940106,1134138,955148,994395,1090550,1143530,1218598,1381869,1849527,2545653,1633110,1028748,1037612,880269,417039,67036,182,115,0,21948004,신사,서울특별시
3호선,안국,2629183,275,41326,309929,1201702,1558626,1126440,948974,1100865,1112954,1157915,1251992,1326791,1524596,1939402,1919067,870250,666334,589213,359590,130030,17018,117,42,2,19153450,안국,서울특별시
3호선,압구정,2629183,1283,65786,406330,817550,2236442,2251517,1376074,1256163,1180082,1290100,1335226,1409261,1576139,1991806,2633178,1670118,1185160,927666,702065,245731,47114,2250,96,0,24607137,압구정,서울특별시
3호선,약수,2629183,1461,100622,218262,528888,924536,629964,446891,430193,459808,470460,476231,512195,603547,715367,972845,593671,423137,410715,349576,184535,50697,4838,23,64,9508526,약수,서울특별시
3호선,양재,2629183,1249,101681,736202,1813617,3566476,1967340,1141041,1048378,1037640,1175409,1147832,1267227,1519177,2417296,3477817,1750382,1221058,1124781,841267,350892,57336,394,82,3,27764577,양재(서초구청),서울특별시
3호선,연신내,2629183,3502,361363,802244,1919199,2330851,1580133,1200639,1168359,1296430,1258149,1228953,1367930,1619346,1759677,2328821,1892237,1194073,1094161,949194,581947,144554,574,99,2,26082437,연신내,서울특별시
3호선,오금,2629183,382,52054,138385,417488,561642,278526,185638,162306,183159,185431,168361,193876,232687,321029,424068,259436,176481,158045,166966,85407,28467,103,4,0,4379941,오금,서울특별시
3호선,옥수,2629183,3331,49750,183523,403182,577550,415976,312902,316593,328169,351346,360751,395197,448996,547047,657800,453973,322243,294599,257549,128051,23414,55,13,2,6832012,옥수,서울특별시
3호선,을지로3가,2629183,304,20801,128580,456400,1067405,490699,306216,303025,303366,331358,340899,362560,425068,739710,1117258,480902,311185,303689,246217,137720,18390,187,34,1,7891974,을지로3가,서울특별시
3호선,일원,2629183,94,48767,251676,708092,634331,470407,436473,392954,420731,413019,417070,462541,551740,663326,501848,355917,228514,199526,195618,86075,18078,268,9,3,7457077,일원,서울특별시
3호선,잠원,2629183,28,28304,150016,236093,344863,228551,165242,168045,175135,188289,175623,196330,250726,291461,295913,201166,135366,138403,131413,62491,12428,37,34,0,3575957,잠원,서울특별시
3호선,종로3가,2629183,451,22116,89496,221785,613184,609078,510310,464227,462516,457497,476867,495337,525891,662664,924023,518045,300867,305630,241157,117230,15522,287,108,20,8034308,종로3가,서울특별시
3호선,충무로,2629183,281.5,28736,142059,368175.5,928557.5,527642.5,375785.5,363681,343421.5,381436,393457.5,394597,466022,696844,985664.5,434873.5,308387.5,318402.5,248882,115071.5,16642,451,25,5,7839101,충무로,서울특별시
3호선,학여울,2629183,77,9988,45262,98657,172298,125181,109020,100178,114322,125161,124603,132030,140581,156012,160546,83087,56053,49496,38363,19274,4488,21,0,2,1864700,학여울,서울특별시
3호선,홍제,2629183,1161,146040,401974,977543,1230946,840229,650459,612849,668159,646449,640212,708891,816162,919633,1157701,853549,545784,494108,408248,240584,42884,146,51,0,13003762,홍제,서울특별시
4호선,길음,2629183,245,159344,524401,1309394,1501352,961256,726151,695816,731345,758784,734595,784324,955972,1156389,1455344,1059624,691036,630317,612103,328243,63913,289,2,0,15840239,길음,서울특별시
