호선명,역명,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총 승차인원,지하철역,주소
2호선,신답,9,1305,2482,7373,12976,5912,3648,3362,3638,3673,3799,4447,5579,6718,11841,8010,4032,4326,3586,2366,544,3,0,0,99628,신답,서울특별시
2호선,신당,28,7052,19286,43954,78204,49985,37391,38119,42442,44137,44030,46791,55273,66196,83682,55561,38093,34965,31582,17958,4371,51,5,0,839154,신당,서울특별시
2호선,신대방,179,26265,44088,105017,158781,100453,63134,55489,58502,59728,58521,67383,77128,95113,126896,103094,70895,70790,65019,37061,8801,209,6,0,1452552,신대방,서울특별시
2호선,신도림,3808,38372,71768,174751,251717,154881,121673,119656,129495,135769,132539,145246,166601,212449,295752,195019,132847,132783,116358,73798,23776,2426,31,22,2831537,신도림,서울특별시
2호선,신림,262,42374,90705,216443,327267,216175,135651,124156,134724,136852,136156,151935,176838,215894,309984,259022,173781,166667,153906,96241,24001,476,20,0,3289528,신림,서울특별시
2호선,신설동,47,1670,3343,9582,21249,13678,12199,12737,13752,15020,14337,14586,14572,16928,19898,10015,6739,6083,5018,2953,849,141,0,0,215395,신설동,서울특별시
2호선,신정네거리,54,9236,21121,54642,57393,33759,24986,24422,26441,26573,25156,28789,34432,42622,59020,43730,25728,23654,20751,13108,3226,192,0,0,599039,신정네거리,서울특별시
2호선,신촌,79,10606,29732,71735,136553,132083,102901,104473,120563,132021,124322,130026,148172,183135,211261,142302,112418,112561,108435,60499,11818,155,27,0,2185875,신촌,서울특별시
2호선,아현,35,5634,16917,40155,61792,36809,28308,26369,29476,29811,29145,32404,39923,43791,53164,36720,25468,23307,20108,11439,2742,36,3,0,593557,아현,서울특별시
2호선,양천구청,16,5765,13721,38076,40697,23072,16700,15868,17630,17535,16516,18459,22201,28374,38099,28626,16967,15955,13654,9490,2717,36,0,0,400174,양천구청,서울특별시
2호선,역삼,41,10729,47089,157365,381540,327207,153023,100888,98818,111842,109013,122432,140325,259313,337656,186809,109712,101693,74889,32345,6325,77,4,0,2869137,역삼,서울특별시
2호선,영등포구청,41,8653,26276,74408,169569,82893,49378,47848,50348,53507,53435,55796,65577,89608,155768,71914,48235,45235,37266,21123,5358,156,13,0,1212405,영등포구청,서울특별시
2호선,왕십리,886,8236,16762,38552,73578,48010,34676,35792,40637,42754,42829,47286,57047,71304,93994,59159,44979,46019,46324,28926,7006,84,19,0,884860,왕십리,서울특별시
2호선,용답,4,2577,4524,9895,17158,12373,8197,7166,8017,8972,7983,9143,11809,12322,14965,9897,6793,7206,6583,3966,1002,2,0,0,170554,용답,서울특별시
