,역명,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총승차인원(평균),호선명,지하철역,주소
269,흑석,17.0,4611.0,12145.0,28534.0,45726.0,30205.0,27650.0,25079.0,28300.0,28691.0,27970.0,30720.0,36648.0,44230.0,49247.0,29739.0,23234.0,21063.0,20140.0,11954.0,2588.0,25.0,0.0,0.0,528516.0,9호선,흑석,서울특별시
207,외대앞,547.0,8003.0,14293.0,23518.0,44599.0,25425.0,26647.0,26375.0,28096.0,26632.0,29528.0,29757.0,36227.0,41269.0,41769.0,30539.0,22146.0,22083.0,21122.0,14151.0,2362.0,7.0,0.0,0.0,515096.0,1호선,외대앞,서울특별시
228,장승배기,11.0,7301.0,15953.0,33905.0,55714.0,35535.0,25373.0,23883.0,24618.0,25358.0,24141.0,26467.0,30692.0,34408.0,47180.0,31113.0,21354.0,19702.0,17230.0,10160.0,2974.0,7.0,0.0,0.0,513078.0,7호선,장승배기,서울특별시
64,대흥,16.0,3338.0,9269.0,29692.0,55141.0,32586.0,26538.0,22814.0,26620.0,29608.0,24841.0,27545.0,33087.0,41114.0,49032.0,29056.0,20258.0,19805.0,19806.0,10488.0,2211.0,11.0,0.0,0.0,512875.0,6호선,대흥(서강대앞),서울특별시
96,명일,8.0,6329.0,17598.0,42228.0,45339.0,28506.0,25346.0,23300.0,23629.0,24937.0,23657.0,25961.0,32726.0,32468.0,49123.0,36754.0,21436.0,19192.0,17948.0,9705.0,3021.0,16.0,0.0,0.0,509227.0,5호선,명일,서울특별시
58,당고개,57.0,8282.0,19974.0,45231.0,46372.0,32345.0,25784.0,23970.0,24677.0,24742.0,24446.0,25731.0,29225.0,32379.0,38069.0,32742.0,21721.0,18999.0,16733.0,11250.0,3106.0,288.0,1.0,0.0,506121.0,4호선,당고개,서울특별시
235,종합운동장,11.0,1973.0,10304.0,23843.0,35801.0,24329.0,18349.0,17364.0,21939.0,25480.0,23417.0,28328.0,38367.0,49950.0,52549.0,28605.0,23781.0,35170.0,34191.0,10117.0,1607.0,60.0,1.0,0.0,505533.0,2호선9호선,종합운동장종합운동장,서울특별시
25,광흥창,5.0,4229.0,12345.0,34828.0,61484.0,35738.0,23555.0,22148.0,24289.0,22872.0,22183.0,24862.0,27424.0,36861.0,54091.0,30871.0,19787.0,17977.0,15757.0,8468.0,1975.0,6.0,0.0,0.0,501757.0,6호선,광흥창(서강),서울특별시
147,송파,4.0,3678.0,14283.0,37889.0,52217.0,30752.0,23313.0,21883.0,23766.0,24628.0,23867.0,27561.0,32025.0,36026.0,46431.0,32577.0,19877.0,17945.0,15854.0,8377.0,2056.0,167.0,0.0,0.0,495178.0,8호선,송파,서울특별시
68,도봉산,152.0,6772.0,17454.0,41902.0,42367.0,32288.0,28728.0,25780.0,27379.0,26705.0,27082.0,29313.0,31733.0,31371.0,35069.0,30642.0,18540.0,15241.0,13493.0,8419.0,3006.0,76.0,1.0,0.0,493515.0,1호선7호선,도봉산도봉산,서울특별시
17,고려대,26.0,4512.0,12070.0,32695.0,56157.0,29815.0,23116.0,20627.0,21315.0,25978.0,20935.0,24861.0,32510.0,37396.0,47037.0,29209.0,20009.0,20974.0,19400.0,11827.0,2828.0,56.0,0.0,0.0,493352.0,6호선,고려대(종암),서울특별시
143,선정릉,6.0,2075.0,9067.0,22297.0,66009.0,51336.0,24732.0,19370.0,19315.0,20510.0,20823.0,20828.0,24872.0,39621.0,61927.0,34052.0,18649.0,16549.0,13686.0,6082.0,1221.0,3.0,0.0,0.0,493028.0,9호선,선정릉(한국과학창의재단),서울특별시
139,석촌,2.0,3435.0,10497.0,26687.0,43955.0,32779.0,22510.0,22136.0,23996.0,25006.0,24227.0,25351.0,30017.0,37350.0,47592.0,32962.0,22779.0,21869.0,19501.0,10050.0,2552.0,23.0,0.0,0.0,485278.0,8호선9호선,석촌석촌,서울특별시
78,둔촌동,2.0,4740.0,17318.0,34214.0,46556.0,27363.0,21800.0,21185.0,22605.0,24301.0,23292.0,26555.0,32360.0,39336.0,50045.0,31967.0,18506.0,17938.0,14828.0,7865.0,1582.0,5.0,1.0,0.0,484365.0,5호선,둔촌동,서울특별시
116,봉화산,23.0,6001.0,17825.0,53752.0,52544.0,27281.0,20735.0,18701.0,20579.0,20886.0,19647.0,21672.0,25142.0,32398.0,41957.0,35293.0,20946.0,17879.0,17032.0,10051.0,3083.0,176.0,0.0,0.0,483603.0,6호선,봉화산(서울의료원),서울특별시
0,가락시장,66.0,4329.0,12595.0,27960.0,50846.0,29057.0,23224.0,23101.0,23328.0,23851.0,24533.0,27018.0,29642.0,37604.0,50559.0,28088.0,20468.0,18859.0,15269.0,7846.0,2476.0,235.0,1.0,0.0,480957.0,3호선8호선,가락시장가락시장,서울특별시
184,약수,59.0,4647.0,10460.0,25558.0,47492.0,31347.0,21999.0,21231.0,22719.0,23438.0,23317.0,25337.0,29503.0,35528.0,48424.0,28950.0,20405.0,19832.0,16972.0,8989.0,2449.0,187.0,1.0,2.0,468845.0,3호선6호선,약수약수,서울특별시
23,광운대,2142.0,7230.0,15303.0,35912.0,44036.0,25640.0,21936.0,24626.0,22543.0,24097.0,24496.0,24455.0,29466.0,32206.0,38210.0,27416.0,19282.0,17804.0,14880.0,11894.0,4649.0,25.0,0.0,0.0,468247.0,1호선,광운대,서울특별시
204,온수,176.0,7533.0,16550.0,44160.0,52639.0,29620.0,19190.0,18272.0,20614.0,19985.0,19106.0,21538.0,28557.0,32939.0,42648.0,30600.0,19081.0,17317.0,14755.0,9276.0,2934.0,450.0,0.0,0.0,467940.0,1호선7호선,온수온수(성공회대입구),서울특별시
39,길동,8.0,5352.0,12939.0,29415.0,44069.0,28521.0,22316.0,22701.0,24765.0,24769.0,24694.0,26497.0,31631.0,34792.0,43458.0,29299.0,19066.0,16438.0,14298.0,7393.0,2694.0,6.0,0.0,0.0,465120.0,5호선,길동,서울특별시
