,사용월,호선명,지하철역,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총 승차인원
4458,202210,5호선,왕십리(성동구청),35,2223,4864,12049,26266,14963,12172,12216,13777,14974,15174,16139,19006,22951,30431,17668,13224,12935,10888,5708,2720,240,0,0,280623
4459,202210,5호선,우장산,0,7581,25979,70461,79925,47934,38290,37546,41122,42216,40210,46569,54494,57513,72523,53867,33299,30434,29713,15464,3371,0,0,0,828511
4460,202210,5호선,을지로4가,3,1229,7559,18745,43209,21447,15744,17078,17849,19349,19405,19927,21899,31816,43662,18248,12053,10298,7170,3662,634,0,0,0,350986
4461,202210,5호선,장한평,35,8429,29889,73500,134484,66487,43964,40863,42713,43448,40957,45658,58384,79325,121298,69864,42295,37835,32744,18587,4222,162,0,0,1035143
4462,202210,5호선,종로3가,59,2187,7902,17353,43549,39358,39282,47397,53744,55598,58898,62460,68742,78018,95645,55959,45032,46571,37636,20793,3175,13,0,0,879371
4463,202210,5호선,천호(풍납토성),83,9564,25559,47674,74219,59385,51516,54507,59638,63582,64321,72172,81889,93661,109153,76094,56541,44897,36484,19818,4555,1,0,0,1105313
4464,202210,5호선,청구,4,1993,5099,10872,24505,14386,9832,9143,9859,10510,10082,10848,12886,15572,23221,14444,9587,8640,7597,4586,998,0,0,0,214664
4465,202210,5호선,충정로(경기대입구),14,1224,3920,16055,41460,16994,8673,8943,8805,9844,9992,9509,11406,19583,36016,12352,8856,8671,7384,3865,798,46,0,0,244410
4466,202210,5호선,하남검단산,25,3768,11339,27149,30621,22923,19791,17954,20404,19248,18855,23384,24365,27160,29068,22881,16508,14437,11575,6314,2755,0,0,0,370524
4467,202210,5호선,하남시청(덕풍?신장),10,5202,13926,31855,38109,23296,20989,21037,21507,23030,20532,24729,29047,29099,36256,28678,17867,16453,13528,7562,3174,0,0,0,425886
4468,202210,5호선,하남풍산,3,1974,7264,16420,25570,15824,10970,10748,11126,11778,11621,12343,16127,17705,23520,15132,9058,8692,7202,4032,1350,0,0,0,238459
4469,202210,5호선,행당,22,4833,13837,35570,52071,28954,20328,19267,20481,20265,20489,22329,25598,30124,40144,27180,18168,16846,14378,7920,2176,0,0,0,440980
4470,202210,5호선,화곡,365,25295,51018,129047,176584,98520,67610,63746,68060,68922,66638,73092,90811,107167,155616,112154,69554,65280,57480,32885,8646,0,0,0,1588490
4471,202210,6호선,고려대(종암),48,4757,11992,32687,58949,31326,25892,22710,23218,28832,22739,28068,34862,38888,49992,30446,20937,22650,20334,12408,2872,38,0,0,524645
4472,202210,6호선,공덕,176,7465,18728,57522,127546,71374,42698,41185,42984,44958,44275,48510,57349,85228,124960,61582,44581,43993,36481,21315,6580,81,0,0,1029571
